starttime	summary
20190530	Running
20190531	Chest
20190601	Back
20190602	Legs
20190603	Chest
20190604	Back
20190605	Running
20190606	Chest
20190607	Back
20190608	Legs
20190609	Chest
20190610	Back
20190611	Rest
20190612	Rest
20190613	Surfing
20190614	Surfing
20190615	Surfing
20190616	Surfing
20190617	Surfing
20190618	Rest
20190619	Rest
20190620	Rest
20190621	Rest
20190622	Rest
20190623	Rest
20190624	Rest
20190625	Rest
20190626	Chest
20190627	Back
20190628	Compound
20190629	Rest
20190630	Rest
20190701	Compound
20190702	Chest
20190703	Back
20190704	Chest
20190705	Back
20190706	Running
20190707	Running
20190708	Chest
20190709	Back
20190710	Compound
20190711	Chest
20190712	Back
20190713	Compound
20190714	Rest
20190715	Chest
20190716	Back
20190717	Chest
20190718	Back
20190719	Compound
20190720	Rest
20190721	Rest
20190722	Compound
20190723	Chest
20190724	Compound
20190725	Back
20190726	Compound
20190727	Rest
20190728	Running
20190729	Compound
20190730	Chest
20190731	Compound
20190801	Back
20190802	Compound
20190803	Rest
20190804	Rest
20190805	Chest
20190806	Back
20190807	Chest
20190808	Back
20190809	Compound
20190810	Rest
20190811	Rest
20190812	Compound
20190813	Compound
20190814	Rest
20190815	Rest
20190816	Rest
20190817	Rest
20190818	Rest
20190819	Chest
20190820	Back
20190821	Legs
20190822	Chest
20190823	Back
20190824	Rest
20190825	Running
20190826	Chest
20190827	Back
20190828	Legs
20190829	Chest
20190830	Back
20190831	Compound
20190901	Rest
20190902	Compound
20190903	Chest
20190904	Compound
20190905	Back
20190906	Compound
20190907	Compound
20190908	Rest
20190909	Compound
20190910	Chest
20190911	Compound
20190912	Back
20190913	Compound
20190914	Compound
20190915	Rest
20190916	Chest
20190917	Back
20190918	Legs
20190919	Chest
20190920	Back
20190921	Compound
20190922	Rest
20190923	Rest
20190924	Compound
20190925	Rest
20190926	Rest
20190927	Rest
20190928	Rest
20190929	Rest
20190930	Rest
20191001	Chest
20191002	Back
20191003	Legs
20191004	Compound
20191005	Rest
20191006	Rest
20191007	Compound
20191008	Chest
20191009	Back
20191010	Legs
20191011	Compound
20191012	Rest
20191013	Chest
20191014	Back
20191015	Legs
20191016	Chest
20191017	Back
20191018	Legs
20191019	Rest
20191020	Rest
20191021	Compound
20191022	Chest
20191023	Back
20191024	Legs
20191025	Compound
20191026	Rest
20191027	Rest
20191028	Compound
20191029	Chest
20191030	Back
20191031	Compound
20191101	Chest
20191102	Back
20191103	Running
20191104	Chest
20191105	Back
20191106	Running
20191107	Chest
20191108	Back
20191109	Rest
20191110	Rest
20191111	Chest
20191112	Back
20191113	Running
20191114	Chest
20191115	Back
20191116	Compound
20191117	Rest
20191118	Chest
20191119	Back
20191120	Rest
20191121	Chest
20191122	Back
20191123	Rest
20191124	Rest
20191125	Chest
20191126	Back
20191127	Compound
20191128	Chest
20191129	Back
20191130	Compound
20191201	Rest
20191202	Chest
20191203	Back
20191204	Chest
20191205	Back
20191206	Compound
20191207	Rest
20191208	Rest
20191209	Compound
20191210	Rest
20191211	Compound
20191212	Rest
20191213	Compound
20191214	Rest
20191215	Compound
20191216	Rest
20191217	Compound
20191218	Rest
20191219	Rest
20191220	Compound
20191221	Rest
20191222	Compound
20191223	Rest
20191224	Compound
20191225	Rest
20191226	Rest
20191227	Compound
20191228	Rest
20191229	Rest
20191230	Rest
20191231	Rest
20200101	Rest
20200102	Rest
20200103	Rest
20200104	Rest
20200105	Rest
20200106	Rest
20200107	Rest
20200108	Rest
20200109	Rest
20200110	Chest
20200111	Back
20200112	Legs
20200113	Chest
20200114	Back
20200115	Legs
20200116	Chest
20200117	Back
20200118	Legs
20200119	Rest
20200120	Chest
20200121	Back
20200122	Legs
20200123	Chest
20200124	Back
20200125	Rest
20200126	Rest
20200127	Chest
20200128	Back
20200129	Legs
20200130	Chest
20200131	Back
20200201	Legs
20200202	Rest
20200203	Chest
20200204	Back
20200205	Legs
20200206	Chest
20200207	Back
20200208	Running
20200209	Running
20200210	Chest
20200211	Back
20200212	Rest
20200213	Rest
20200214	Rest
20200215	Rest
20200216	Rest
20200217	Rest
20200218	Rest
20200219	Rest
20200220	Rest
20200221	Chest
20200222	Back
20200223	Rest
20200224	Chest
20200225	Back
20200226	Legs
20200227	Chest
20200228	Back
20200229	Rest
20200301	Rest
20200302	Chest
20200303	Back
20200304	Legs
20200305	Chest
20200306	Back
20200307	Running
20200308	Rest
20200309	Chest
20200310	Back
20200311	Rest
20200312	Chest
20200313	Back
